siteId,Lon,Lat,Height,Notes
Paraparaumu,1766726,5471342,0, Paraparaumu; west coast
Porirua CBD north,1754357,5445716,0, Porirua CBD north of Ohariu fault
South Coast,1736455,5427195,0," South Coast, sea/shore electricity cable location"
Wellington Airport,1751064,5423128,0, Wellington airport
Wellington CBD,1749376,5427530,0, downtown Wellington in NZTM
Petone,1757199,5434207,0, Petone (Hutt Valley); people and office buildings
Seaview,1759240,5432111,0, Seaview (Hutt Valley); oil tankers loading/unloading
Eastbourne,1758789,5427418,0, Eastbourne (eastern wellington harbour)
Turakirae Head,1760183,5410911,0, Turakirae Head
Lake Ferry,1779348,5415831,0," Lake Ferry (small settlement, flood infrastructure)"
Cape Palliser,1789451,5391086,0, Cape Palliser (marine terraces to compare)
Flat Point,1848038,5429751,0, Flat Point (round out point spacing)
Porirua CBD south,1754557,5445119,0, Porirua CBD south of Ohariu fault
