siteId,Lon,Lat,Height
1790_5391,1789971.2195,5391175.8316,0
1791_5391,1790971.2195,5391175.8316,0
1792_5391,1791971.2195,5391175.8316,0
1793_5391,1792971.2195,5391175.8316,0
1787_5392,1786971.2195,5392175.8316,0
1788_5392,1787971.2195,5392175.8316,0
1789_5392,1788971.2195,5392175.8316,0
1790_5392,1789971.2195,5392175.8316,0
1791_5392,1790971.2195,5392175.8316,0
1792_5392,1791971.2195,5392175.8316,0
1793_5392,1792971.2195,5392175.8316,0
1794_5392,1793971.2195,5392175.8316,0
1787_5393,1786971.2195,5393175.8316,0
1788_5393,1787971.2195,5393175.8316,0
1789_5393,1788971.2195,5393175.8316,0
1790_5393,1789971.2195,5393175.8316,0
1791_5393,1790971.2195,5393175.8316,0
1792_5393,1791971.2195,5393175.8316,0
1793_5393,1792971.2195,5393175.8316,0
1794_5393,1793971.2195,5393175.8316,0
1795_5393,1794971.2195,5393175.8316,0
1796_5393,1795971.2195,5393175.8316,0
1786_5394,1785971.2195,5394175.8316,0
1787_5394,1786971.2195,5394175.8316,0
1788_5394,1787971.2195,5394175.8316,0
1789_5394,1788971.2195,5394175.8316,0
1790_5394,1789971.2195,5394175.8316,0
1791_5394,1790971.2195,5394175.8316,0
1792_5394,1791971.2195,5394175.8316,0
1793_5394,1792971.2195,5394175.8316,0
1794_5394,1793971.2195,5394175.8316,0
1795_5394,1794971.2195,5394175.8316,0
1796_5394,1795971.2195,5394175.8316,0
1786_5395,1785971.2195,5395175.8316,0
1787_5395,1786971.2195,5395175.8316,0
1788_5395,1787971.2195,5395175.8316,0
1789_5395,1788971.2195,5395175.8316,0
1790_5395,1789971.2195,5395175.8316,0
1791_5395,1790971.2195,5395175.8316,0
1792_5395,1791971.2195,5395175.8316,0
1793_5395,1792971.2195,5395175.8316,0
1794_5395,1793971.2195,5395175.8316,0
1795_5395,1794971.2195,5395175.8316,0
1796_5395,1795971.2195,5395175.8316,0
1797_5395,1796971.2195,5395175.8316,0
1798_5395,1797971.2195,5395175.8316,0
1786_5396,1785971.2195,5396175.8316,0
1787_5396,1786971.2195,5396175.8316,0
1788_5396,1787971.2195,5396175.8316,0
1789_5396,1788971.2195,5396175.8316,0
1790_5396,1789971.2195,5396175.8316,0
1791_5396,1790971.2195,5396175.8316,0
1792_5396,1791971.2195,5396175.8316,0
1793_5396,1792971.2195,5396175.8316,0
1794_5396,1793971.2195,5396175.8316,0
1795_5396,1794971.2195,5396175.8316,0
1796_5396,1795971.2195,5396175.8316,0
1797_5396,1796971.2195,5396175.8316,0
1798_5396,1797971.2195,5396175.8316,0
1799_5396,1798971.2195,5396175.8316,0
1800_5396,1799971.2195,5396175.8316,0
1801_5396,1800971.2195,5396175.8316,0
1802_5396,1801971.2195,5396175.8316,0
1803_5396,1802971.2195,5396175.8316,0
1804_5396,1803971.2195,5396175.8316,0
1786_5397,1785971.2195,5397175.8316,0
1787_5397,1786971.2195,5397175.8316,0
1788_5397,1787971.2195,5397175.8316,0
1789_5397,1788971.2195,5397175.8316,0
1790_5397,1789971.2195,5397175.8316,0
1791_5397,1790971.2195,5397175.8316,0
1792_5397,1791971.2195,5397175.8316,0
1793_5397,1792971.2195,5397175.8316,0
1794_5397,1793971.2195,5397175.8316,0
1795_5397,1794971.2195,5397175.8316,0
1796_5397,1795971.2195,5397175.8316,0
1797_5397,1796971.2195,5397175.8316,0
1798_5397,1797971.2195,5397175.8316,0
1799_5397,1798971.2195,5397175.8316,0
1800_5397,1799971.2195,5397175.8316,0
1801_5397,1800971.2195,5397175.8316,0
1802_5397,1801971.2195,5397175.8316,0
1803_5397,1802971.2195,5397175.8316,0
1804_5397,1803971.2195,5397175.8316,0
1805_5397,1804971.2195,5397175.8316,0
1785_5398,1784971.2195,5398175.8316,0
1786_5398,1785971.2195,5398175.8316,0
1787_5398,1786971.2195,5398175.8316,0
1788_5398,1787971.2195,5398175.8316,0
1789_5398,1788971.2195,5398175.8316,0
1790_5398,1789971.2195,5398175.8316,0
